issue_family,n_sources,avg_answerability,avg_faithfulness_support,avg_policy_clarity,avg_freshness_signal,avg_escalation_clarity,avg_account_dependency,avg_total
cancellation_fee,2,2.5,3,3,1,3,2.5,2.5
cancellation_or_refund,1,3,3,3,1,3,2,2.5
duplicate_or_unexpected_charge,1,2,3,1,1,2,2,1.8
lost_item,1,3,3,3,1,3,2,2.5
membership_or_subscription_charge,1,3,3,3,1,3,2,2.5
missing_delivery,2,2.5,3,2.5,1,3,2.5,2.4
missing_items,1,3,3,3,1,3,3,2.7
missing_service_or_trip_not_taken,1,2,3,3,1,2,3,2.3
pending_or_unexpected_charge,1,3,3,3,1,2,3,2.5
refund_status,4,2.5,3,2.2,1,2.5,2,2.2
support_escalation,3,2.7,3,2.7,1,3,2.7,2.5
unexpected_or_disputed_charge,3,2.7,3,2.3,1,3,2,2.3
wrong_or_incomplete_order,2,3,3,2.5,1,3,2,2.4
wrong_or_problematic_service,1,2,3,2,1,1,2,1.8
